순번	구분	확인 내용	클라이언트 확인 질문	답변	상세 의견	자료 공유
26	보험/청구	보험사 입금액과 고객 결제액을 따로 관리하도록 설계	보험사 입금액과 고객 결제액을 따로 확인할 수 있게 하면 괜찮을까요?			
27	보험/청구	기존 청구서 양식 확인	현재 사용 중인 청구서 양식이 있다면 공유 가능할까요?			예: 엑셀, PDF, 이미지
28	재고 관리	부품 목록과 실제 재고 수량을 나누어 관리하도록 설계	재고 수량을 실제로 맞춰 관리해야 하나요?			
29	재고 관리	재고 위치 관리 가능하게 설계 검토	재고 위치 관리가 필요할까요?			
30	재고 관리	최소 재고 알림 기능 설계 검토	최소 재고 알림이 있으면 좋을까요?			
31	재고 관리	기존 부품/재고 자료 확인	기존 부품 목록이나 재고 엑셀 자료가 있다면 공유 가능할까요?			예: 엑셀, 구글시트
32	출력물	견적서 PDF 또는 출력 양식 설계 검토	견적서 PDF 또는 출력 양식이 필요할까요?			
33	출력물	청구서 PDF 또는 출력 양식 설계 검토	청구서 PDF 또는 출력 양식이 필요할까요?			
34	출력물	기존 양식 확인	현재 사용하는 견적서, 청구서, 작업지시서 양식이 있다면 공유 가능할까요?			예: 엑셀, PDF, 이미지
35	출력물	고객에게 견적서 링크를 보내는 기능 검토	고객에게 견적서 링크를 보내는 방식이 필요할까요?			
36	기존 자료	기존 기준정보 자료 확인	기존 고객, 차량, 부품, 재고, 보험사, 정비소 자료가 있다면 공유 가능할까요?			예: 엑셀, 구글시트
37	기존 자료	데이터 이전 범위 확인	기존 자료는 전부 이전해야 할까요, 아니면 필요한 기준정보만 먼저 옮기면 될까요?			
38	권한/이력	삭제 대신 취소/미사용 처리로 남기도록 설계	삭제 대신 취소/미사용 처리로 남기는 방식이 괜찮을까요?			
39	권한/이력	사용자 권한은 관리자/직원 기준으로 설계	사용자는 관리자와 직원 정도로 나누면 될까요?			
40	권한/이력	직원 권한 제한 확인	직원이 수정하면 안 되는 업무가 있을까요? 예: 금액 수정, 청구 확정, 재고 조정, 입금 처리, 취소 처리			
41	권한/이력	주요 수정 이력 기록	누가 언제 수정했는지 이력을 남기면 괜찮을까요?			
42	고도화 후보	업무와 상관없이 폴더를 만들고 문서를 모아두는 범용 문서함 기능	향후 고도화 기능으로 범용 문서함이 있으면 좋을까요?			
43	고도화 후보	외부에서 다운로드하거나 전달받은 파일을 한곳에 모아두고 나중에 고객/거래처/작업/청구에 연결하는 기능	향후 고도화 기능으로 외부 자료 수집함이 있으면 좋을까요?			
44	고도화 후보	세금계산서 파일을 모아두고 전표와 연결하는 기능	향후 고도화 기능으로 세금계산서 파일 관리가 있으면 좋을까요?			
